OBSID1,OBSID2,STUDYID,CRN_SUBCMP,DBDOI,DBVERNO,CNTRY,REGION_INT,BASIN,AHGFL1,REFDBID,OAID,AUTHOR,PUBYEAR,REFID,REFDOI,MATERIAL,SIZEMIN,SIZEMAX,PROJEPSGID,PROJECTION,AREA,ELEV_AVE,ELEV_STD,SLP_AVE,SLP_STD,SMP_DAY,SMP_MONTH,SMP_YEAR,SMP_COMMT,BE10NP,BE10NP_ERR,BE10EP,BE10EP_ERR,BESTND,BECORR,BEAMS,BE10NC,BE10NC_ERR,EBE_MMKYR,EBE_ERR,IGSNID,CENTR_LAT,ATM_PRESS,QTZ_PCNT,GLA_KM2,GLA_PCNT,BEPROD,BETOPO,SLP_deg,rock_major,rock_count,MAP,MAT,AI,NDVI_STS,weathering,weath_unc,cent_long,cent_lat,k_d,k_range_d,D_d,E_d,W_d,Denu,Denu_unc,k_i,k_range_i,D_i,E_i,W_i,k_c,k_range_c,D_c,E_c,W_c,k_0,k_range_0,D_0,E_0,W_0,k_0b,k_range_0b,D_0b,E_0b,W_0b
S072WTS003,BWR-12,S072,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),IND,Central Ladakh Range (JK),ND,NA,Dortch:2011ladakh,OAID-000053,Dortch,"2011",Geomorphology_135,10.1016/j.geomorph.2011.08.014,Sa,"250","1000","32644",WGS84_UTM_44N,341.129999999999995,5184.579999999999927,380.870000000000005,471.699999999999989,216.599999999999994,"-9999","-9999","-9999",NA,623000,25000,96.890000000000001,13.400000000000000,07KNSTD,1.000000000000000,PRIME-Lab,623000,25000,89.370000000000005,16.219999999999999,NA,34.407400000000003,534.830000000000041,100.000000000000000,49.049999999999997,14.410000000000000,22.018000000000001,0.965000000000000,25.25330000000,pa,100.00000000000,116.26100000000,-7.86078000000,1286.09000000000,0.08564990000,45.29440000000,13.58830000000,77.40404321510,34.41434953940,0.18327700000,Yes,79.11100000000,59.26500000000,19.84600000000,90.58890000000,4.25707000000,0.17505400000,Yes,82.05450000000,56.60600000000,25.44840000000,0.22303200000,Yes,81.17930000000,72.12040000000,9.05888000000,0.27644800000,Yes,89.39300000000,89.39300000000,0.00000000000,0.13926100000,Yes,90.32620000000,90.32620000000,0.00000000000
S283WTS023,SF1-2011,S283,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHE,Wallis,Matter,NA,Delunel:2020alps,OAID-000044,Delunel,"2020",Earth-Sci_Rev_211,10.1016/j.earscirev.2020.103407,Sa,"250","1000","32632",WGS84_UTM_32N,237.039999999999992,2685.650000000000091,552.850000000000023,493.790000000000020,232.449999999999989,"-9999","-9999","2011",NA,30448,3300,721.429999999999950,152.349999999999994,S2007,0.912400000000000,ETH-Zurich,30448,3300,716.980000000000018,151.439999999999998,NA,46.098199999999999,720.899999999999977,76.000000000000000,84.230000000000004,35.530000000000001,8.449000000000000,0.962000000000000,26.27970000000,mt,60.00000000000,670.43200000000,-1.94769000000,8928.36000000000,0.26389700000,361.60800000000,108.48300000000,7.94383646728,46.09859796640,1.22645000000,Yes,621.66600000000,456.59100000000,165.07500000000,723.21700000000,33.58250000000,1.23252000000,Yes,655.38300000000,458.85000000000,196.53300000000,1.55507000000,Yes,651.25400000000,578.93300000000,72.32160000000,1.92543000000,Yes,716.81400000000,716.81400000000,0.00000000000,0.96217000000,Yes,719.81100000000,719.81100000000,0.00000000000
S293WTS009,T9,S293,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHN,E Himalayan Syntaxis,Parlung tributary,NA,Zhang:2021paired,OAID-001017,Zhang,"2021",Earth_Surf_Proc_Land_46,10.1002/esp.5105,Sa,"250","500","32646",WGS84_UTM_46N,315.329999999999984,4751.960000000000036,463.310000000000002,552.279999999999973,320.709999999999980,"-9999","9","2017",NA,48000,5500,674.000000000000000,95.000000000000000,07KNSTD,1.000000000000000,Tianjin,48000,5500,826.250000000000000,175.159999999999997,NA,29.774999999999999,566.940000000000055,85.000000000000000,60.450000000000003,19.199999999999999,15.837000000000000,0.944000000000000,28.91100000000,sm,44.00000000000,667.04800000000,-2.18620000000,8370.73000000000,0.20676500000,421.69100000000,126.50700000000,96.30551382230,29.79806164780,1.27367000000,Yes,712.81200000000,517.62100000000,195.19200000000,843.38300000000,39.25520000000,1.28816000000,Yes,750.00900000000,523.51000000000,226.49900000000,1.61075000000,Yes,738.94600000000,654.60700000000,84.33820000000,2.06136000000,Yes,837.73800000000,837.73800000000,0.00000000000,1.03027000000,Yes,840.39200000000,840.39200000000,0.00000000000
S282WTS008,See2 0614,S282,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),AUT,Hohe Tauern,Seebach,NA,Grischott:2017stappitz,OAID-000069,Grischott,"2017",Holocene_27,10.1177/0959683617708451,Sa,"250","1000","32633",WGS84_UTM_33N,27.640000000000001,2223.579999999999927,400.329999999999984,598.490000000000009,223.069999999999993,"-9999","6","2014",NA,22051,1815,630.000000000000000,80.000000000000000,S2007,0.912400000000000,ETH-Zurich,22051,1815,727.259999999999991,146.289999999999992,NA,47.022599999999997,767.250000000000000,100.000000000000000,3.580000000000000,12.949999999999999,6.205000000000000,0.948000000000000,30.90010000000,pa,64.00000000000,1680.12000000000,-1.17772000000,29973.30000000000,0.41295200000,372.06000000000,111.61800000000,13.26062206080,47.02026612090,1.05973000000,Yes,659.29800000000,507.97400000000,151.32400000000,744.12000000000,34.50160000000,0.96142900000,Yes,681.58800000000,460.85200000000,220.73600000000,1.26927000000,Yes,682.82600000000,608.41400000000,74.41200000000,1.52882000000,Yes,732.82600000000,732.82600000000,0.00000000000,0.75774600000,Yes,735.27800000000,735.27800000000,0.00000000000
S283WTS025,VI-2011,S283,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHE,Wallis,Matter,NA,Delunel:2020alps,OAID-000044,Delunel,"2020",Earth-Sci_Rev_211,10.1016/j.earscirev.2020.103407,Sa,"250","1000","32632",WGS84_UTM_32N,747.240000000000009,2669.199999999999818,659.419999999999959,488.959999999999980,249.680000000000007,"-9999","-9999","2011",NA,13092,1440,1687.700000000000045,357.660000000000025,S2007,0.912400000000000,ETH-Zurich,13092,1440,1681.910000000000082,356.470000000000027,NA,46.087100000000000,719.720000000000027,64.000000000000000,303.660000000000025,40.640000000000001,8.516999999999999,0.961000000000000,26.05680000000,mt,49.00000000000,669.98600000000,-1.97550000000,8941.95000000000,0.27214600000,849.08500000000,254.72600000000,7.83411441817,46.07746929120,2.73498000000,Yes,1429.33000000000,1026.01000000000,403.31900000000,1698.17000000000,78.86440000000,2.84260000000,Yes,1512.15000000000,1066.39000000000,445.76600000000,3.51806000000,Yes,1489.60000000000,1319.78000000000,169.81700000000,4.50009000000,Yes,1688.19000000000,1688.19000000000,0.00000000000,2.25206000000,Yes,1693.93000000000,1693.93000000000,0.00000000000
S351WTS007,ET08,S351,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHN,"Min Shan, E Tibet",Fu Jiang,NA,Kirkpatrick:2020tibet,OAID-001714,Kirkpatrick,"2020",Geology_49,10.1130/g48179.1,Sa,"250","500","32648",WGS84_UTM_48N,644.009999999999991,3233.980000000000018,761.970000000000027,631.580000000000041,263.800000000000011,"-9999","9","2016",NA,35919,2223,447.000000000000000,43.500000000000000,07KNSTD,1.000000000000000,PRIME-Lab,35919,2223,599.639999999999986,114.510000000000005,NA,32.532699999999998,675.019999999999982,74.000000000000000,0.160000000000000,0.020000000000000,8.512000000000000,0.938000000000000,32.27570000000,sm,56.00000000000,793.94600000000,2.86345000000,10758.70000000000,0.70408200000,300.54900000000,90.16470000000,103.95738617600,32.53156725050,0.89184200000,Yes,535.17300000000,417.09200000000,118.08100000000,601.09800000000,27.89300000000,0.80743800000,Yes,560.08700000000,377.61800000000,182.46800000000,1.06919000000,Yes,560.14500000000,500.03600000000,60.10980000000,1.27851000000,Yes,597.92900000000,597.92900000000,0.00000000000,0.63947200000,Yes,599.61400000000,599.61400000000,0.00000000000
S283WTS026,VI-2012,S283,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHE,Wallis,Matter,NA,Delunel:2020alps,OAID-000044,Delunel,"2020",Earth-Sci_Rev_211,10.1016/j.earscirev.2020.103407,Sa,"250","1000","32632",WGS84_UTM_32N,747.240000000000009,2669.199999999999818,659.419999999999959,488.959999999999980,249.680000000000007,"-9999","-9999","2012",NA,13379,1730,1651.490000000000009,368.589999999999975,S2007,0.912400000000000,ETH-Zurich,13379,1730,1645.819999999999936,367.360000000000014,NA,46.087100000000000,719.720000000000027,64.000000000000000,303.660000000000025,40.640000000000001,8.516999999999999,0.961000000000000,26.05680000000,mt,49.00000000000,669.98600000000,-1.97550000000,8941.95000000000,0.27214600000,830.86500000000,249.25900000000,7.83411441817,46.07746929120,2.67628000000,Yes,1398.66000000000,1003.99000000000,394.66400000000,1661.73000000000,77.17260000000,2.78154000000,Yes,1479.68000000000,1043.48000000000,436.20100000000,3.44253000000,Yes,1457.62000000000,1291.45000000000,166.17300000000,4.40336000000,Yes,1651.90000000000,1651.90000000000,0.00000000000,2.20371000000,Yes,1657.58000000000,1657.58000000000,0.00000000000
S319WTS011,TS12-TXH-RB,S319,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHN,E Tianshan,Taxi,NA,Charreau:2023unsteady,OAID-000026,Charreau,"2023",Tectonophysics_848,10.1016/j.tecto.2022.229702,Sa,"200","800","32644",WGS84_UTM_44N,758.799999999999955,2691.989999999999782,945.429999999999950,443.759999999999991,282.660000000000025,"-9999","-9999","2012",NA,145000,13000,400.000000000000000,60.000000000000000,07KNSTD,1.000000000000000,ASTER,145000,13000,150.509999999999991,30.430000000000000,NA,43.793500000000002,713.009999999999991,63.000000000000000,47.460000000000001,6.280000000000000,8.550000000000002,0.963000000000000,23.92970000000,sm,37.00000000000,303.09200000000,-1.63417000000,3745.66000000000,0.41126000000,75.37100000000,22.61130000000,86.16195015190,43.70620993440,0.32019800000,Yes,139.19600000000,100.96500000000,38.23140000000,150.74200000000,7.03908000000,0.32024700000,Yes,138.12000000000,100.98000000000,37.13960000000,0.38762800000,Yes,137.30100000000,122.22700000000,15.07420000000,0.47255700000,Yes,149.00700000000,149.00700000000,0.00000000000,0.23979600000,Yes,150.98400000000,150.98400000000,0.00000000000
S037WTS027,Reuss-b,S037,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHE,Swiss Alps,Reuss,NA,Wittmann:2007switzerland,OAID-000178,Wittmann,"2007",J_Geophys_Res-Earth_112,10.1029/2006JF000729,Sa,"250","500","32632",WGS84_UTM_32N,670.360000000000014,2100.900000000000091,566.809999999999945,564.549999999999955,262.490000000000009,"-9999","-9999","-9999",NA,10000,4200,1870.000000000000000,790.000000000000000,S555,0.912400000000000,ETH-Zurich,9124,3832,1648.400000000000091,893.879999999999995,NA,46.685699999999997,775.799999999999955,82.000000000000000,119.189999999999998,17.770000000000000,5.807000000000000,0.948000000000000,29.44690000000,mt,46.00000000000,1508.30000000000,0.79553200000,20786.20000000000,0.47722700000,822.43500000000,246.73000000000,8.59528231869,46.69869668900,2.60636000000,Yes,1427.54000000000,1068.38000000000,359.15800000000,1644.87000000000,76.32570000000,2.50766000000,Yes,1491.20000000000,1027.93000000000,463.27700000000,3.22103000000,Yes,1484.83000000000,1320.35000000000,164.48700000000,3.98639000000,Yes,1634.08000000000,1634.08000000000,0.00000000000,1.99253000000,Yes,1639.20000000000,1639.20000000000,0.00000000000
S037WTS026,Reuss-a,S037,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHE,Swiss Alps,Reuss,NA,Wittmann:2007switzerland,OAID-000178,Wittmann,"2007",J_Geophys_Res-Earth_112,10.1029/2006JF000729,Sa,"125","250","32632",WGS84_UTM_32N,670.360000000000014,2100.900000000000091,566.809999999999945,564.549999999999955,262.490000000000009,"-9999","-9999","-9999",NA,14500,4300,1290.000000000000000,380.000000000000000,S555,0.912400000000000,ETH-Zurich,13230,3923,1136.609999999999900,424.730000000000018,NA,46.685699999999997,775.799999999999955,82.000000000000000,119.189999999999998,17.770000000000000,5.807000000000000,0.948000000000000,29.44690000000,mt,46.00000000000,1508.30000000000,0.79553200000,20786.20000000000,0.47722700000,567.06500000000,170.12000000000,8.59528231869,46.69869668900,1.79697000000,Yes,984.24000000000,736.60200000000,247.63800000000,1134.13000000000,52.63760000000,1.72846000000,Yes,1027.95000000000,708.52100000000,319.42700000000,2.22061000000,Yes,1023.67000000000,910.25800000000,113.41300000000,2.74656000000,Yes,1125.85000000000,1125.85000000000,0.00000000000,1.37375000000,Yes,1130.18000000000,1130.18000000000,0.00000000000
